Transaction Date,Transaction Type,Sort Code,Account Number,Transaction Description,Debit Amount,Credit Amount,Balance
17/08/2018,BP,,,SAVE THE CHANGE,1.67,,360.51
16/08/2018,CPT,,,LNK WEST GEORGE ST,10,,362.18
16/08/2018,DEB,,,WAITROSE 308,7.08,,372.18
16/08/2018,DEB,,,TESCO STORES 6099,2,,379.26
16/08/2018,DEB,,,TESCO STORES 6099,1.6,,381.26
16/08/2018,DEB,,,TESCO STORES 6099,0.65,,382.86
16/08/2018,BP,,,SAVE THE CHANGE,1.62,,383.51
15/08/2018,DEB,,,CLAIRE'S ACCESSORI,22,,385.13
15/08/2018,DEB,,,CINEWORLD,17.9,,407.13
15/08/2018,DEB,,,CINEWORLD GLA CP,7.45,,425.03
15/08/2018,DEB,,,ITUNES.COM/BILL,3.98,,432.48
15/08/2018,DEB,,,TESCO STORES 6099,3.15,,436.46
15/08/2018,DEB,,,TESCO STORES 6099,3.9,,439.61
15/08/2018,FPO,,,EMILY STEWART,10,,443.51
15/08/2018,BP,,,SAVE THE CHANGE,1.97,,453.51
14/08/2018,DEB,,,WAITROSE 308,27.54,,455.48
14/08/2018,DEB,,,HOLLAND & BARRETT,8.04,,483.02
14/08/2018,DEB,,,GORBALS LEISURE CE,4,,491.06
14/08/2018,DEB,,,HILLHEAD SUBWAY,1.45,,495.06
14/08/2018,TFR,,,R KING,,200,496.51
14/08/2018,TFR,,,R KING,,50,296.51
14/08/2018,FPO,,,SATURDAY CLUB,10,,246.51
14/08/2018,BP,,,SAVE THE CHANGE,6.48,,256.51
13/08/2018,DEB,,,Just Eat,24,,262.99
13/08/2018,DEB,,,STARBUCKS CARD REL,20,,286.99
13/08/2018,DEB,,,Amazon Digital Vid,5.99,,306.99
13/08/2018,DEB,,,TESCO STORES 6099,15.1,,312.98
13/08/2018,DEB,,,SMUG COFFEE BA,6.15,,328.08
13/08/2018,DEB,,,TESCO STORES 6099,3.14,,334.23
13/08/2018,DEB,,,TESCO STORES 6099,1.44,,337.37
13/08/2018,DEB,,,HOLLAND & BARRETT,23.27,,338.81
13/08/2018,DEB,,,TRONGATE BARISTAS,8.5,,362.08
13/08/2018,DEB,,,Amazon Digital Vid,7.99,,370.58
13/08/2018,DEB,,,SUMUP  *FACEPLANT,5,,378.57
13/08/2018,DEB,,,TESCO STORES 6099,8.04,,383.57
13/08/2018,DEB,,,HILLHEAD SUBWAY,1.45,,391.61
13/08/2018,DEB,,,BUCHANAN ST SUBWAY,20,,393.06
13/08/2018,DEB,,,THE SPARKLE HORSE,20,,413.06
